timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772269057758,579,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-1,text,true,,503195,312,1,1,https://baomoi.com/,449,0,318
1772269058346,256,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-1,text,true,,503195,312,1,1,https://baomoi.com/,114,0,0
1772269058604,251,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-1,text,true,,503455,312,2,2,https://baomoi.com/,115,0,0
1772269058684,338,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-2,text,true,,502532,312,2,2,https://baomoi.com/,204,0,42
1772269058857,261,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-1,text,true,,502549,312,2,2,https://baomoi.com/,109,0,0
1772269059025,278,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-2,text,true,,503251,312,2,2,https://baomoi.com/,107,0,0
1772269059121,325,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-1,text,true,,503527,312,2,2,https://baomoi.com/,111,0,0
1772269059306,293,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-2,text,true,,503227,312,1,1,https://baomoi.com/,136,0,0
1772269059600,294,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-2,text,true,,502974,312,2,2,https://baomoi.com/,102,0,0
1772269059681,343,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-3,text,true,,502564,312,2,2,https://baomoi.com/,198,0,24
1772269059897,280,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-2,text,true,,503070,312,2,2,https://baomoi.com/,127,0,0
1772269060024,308,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-3,text,true,,503062,312,1,1,https://baomoi.com/,111,0,0
1772269060334,311,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-3,text,true,,502563,312,1,1,https://baomoi.com/,146,0,0
1772269060646,236,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-3,text,true,,502968,312,2,2,https://baomoi.com/,100,0,0
1772269060674,305,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-4,text,true,,502957,312,2,2,https://baomoi.com/,178,0,42
1772269060884,315,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-3,text,true,,502580,312,2,2,https://baomoi.com/,142,0,0
1772269060981,245,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-4,text,true,,502548,312,1,1,https://baomoi.com/,105,0,0
1772269061227,257,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-4,text,true,,502552,312,1,1,https://baomoi.com/,115,0,0
1772269061484,245,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-4,text,true,,502958,312,2,2,https://baomoi.com/,103,0,0
1772269061729,222,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-4,text,true,,502680,312,2,2,https://baomoi.com/,106,0,0
1772269061672,443,GET - Trang chu,200,OK,Thread Group 1 - Kich ban co ban 1-5,text,true,,502708,312,1,1,https://baomoi.com/,168,0,39
